t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.208942734e-02,3.139973449e+01,1.944238155e-06,0.000000000e+00,4.609262e-16,0.000000e+00,0.000000e+00,1.337317e-02
0.050000,7.847584802e-04,1.439558229e-03,1.203206567e-02,7.197790534e-04,3.221149144e-04,2.907344627e-01,3.207565087e+01,7.736002133e-05,1.249530784e+00,1.111022e-15,1.570051e-18,6.776264e-20,8.713179e-03
0.100000,3.143317367e-04,8.056730185e-04,1.131133221e-02,4.028364999e-04,1.436916610e-04,3.254848315e-01,3.232462233e+01,6.543651447e-05,1.214775836e-01,1.112706e-15,7.239278e-19,4.285685e-20,9.289290e-03
0.150000,1.334137048e-04,5.547758949e-04,4.071441833e-03,2.773879463e-04,1.049838923e-04,2.613125971e-01,3.175625402e+01,8.992044821e-06,7.420794912e-02,1.332891e-15,2.020989e-18,1.554946e-19,8.760959e-03
0.200000,8.868717055e-05,4.280261385e-04,2.341404464e-03,2.140130715e-04,1.027697299e-04,2.468117292e-01,3.158936741e+01,3.191993129e-06,2.086153871e-02,1.779722e-15,4.495786e-18,1.602326e-19,1.254129e-02
0.250000,7.850152782e-05,3.358188003e-04,1.791624313e-03,1.679094037e-04,1.068404423e-04,2.369064037e-01,3.153767336e+01,1.921826423e-06,8.543810270e-03,1.332559e-15,2.020464e-18,1.615238e-19,8.853640e-03
0.300000,7.829114123e-05,2.643695234e-04,1.451826957e-03,1.321847700e-04,1.129194283e-04,2.261921450e-01,3.151682613e+01,1.295689642e-06,5.748222184e-03,2.221451e-15,3.721336e-18,1.769812e-19,8.905819e-03
0.350000,8.210474002e-05,2.100090849e-04,1.186943148e-03,1.050045489e-04,1.194268224e-04,2.140120846e-01,3.150451673e+01,9.067267884e-07,4.786517718e-03,1.332284e-15,4.570026e-18,1.114545e-18,8.857069e-03
0.400000,8.750688772e-05,1.708370971e-04,9.723696149e-04,8.541856128e-05,1.255877774e-04,2.003802922e-01,3.149425885e+01,6.573002975e-07,4.210793488e-03,2.220819e-15,7.574380e-18,5.424742e-19,8.855869e-03
0.450000,9.319114014e-05,1.453842054e-04,7.974475275e-04,7.269211522e-05,1.310732605e-04,1.854473627e-01,3.148420051e+01,4.976760255e-07,3.789756518e-03,1.787784e-15,9.610302e-18,8.579046e-19,8.726689e-03
0.500000,9.849457013e-05,1.317872377e-04,6.545640750e-04,6.589363504e-05,1.357880686e-04,1.693960035e-01,3.147387991e+01,3.964700297e-07,3.473077485e-03,2.221882e-15,3.766118e-18,1.751486e-18,8.622238e-03
0.550000,1.031286002e-04,1.273026007e-04,5.377431907e-04,6.365131402e-05,1.397484771e-04,1.524171214e-01,3.146325163e+01,3.332328826e-07,3.237603946e-03,1.776660e-15,8.618474e-18,7.852622e-19,1.145178e-02
0.600000,1.070049346e-04,1.287496476e-04,4.422023079e-04,6.437483538e-05,1.430186881e-04,1.347044588e-01,3.145239397e+01,2.945591572e-07,3.066007990e-03,1.556010e-15,4.018800e-18,3.122424e-19,1.003959e-02
0.650000,1.101349870e-04,1.334055482e-04,3.640681413e-04,6.670278849e-05,1.456795789e-04,1.164547581e-01,3.144141954e+01,2.716472193e-07,2.943874753e-03,2.001613e-15,1.038208e-17,1.726721e-18,8.499658e-03
0.700000,1.125757741e-04,1.394315468e-04,3.001769582e-04,6.971578012e-05,1.478138697e-04,9.787257312e-02,3.143044671e+01,2.587269438e-07,2.859364692e-03,9.051273e-16,4.696696e-18,1.686281e-18,8.524948e-03
0.750000,1.144018957e-04,1.457684538e-04,2.479318969e-04,7.288424259e-05,1.494994243e-04,7.918526870e-02,3.141958955e+01,2.520326381e-07,2.803048146e-03,2.226291e-15,7.566764e-18,5.182880e-19,1.328240e-02
0.800000,1.156914653e-04,1.518733045e-04,2.051975548e-04,7.593666113e-05,1.508065545e-04,6.068824944e-02,3.140895355e+01,2.491249652e-07,2.767616967e-03,1.332855e-15,1.802075e-17,1.358847e-18,8.608038e-03
0.850000,1.165193670e-04,1.575020624e-04,1.702199522e-04,7.875103741e-05,1.517972867e-04,4.290262280e-02,3.139863338e+01,2.484405531e-07,2.747520506e-03,8.903923e-16,1.065009e-17,9.826726e-19,8.621748e-03
0.900000,1.169543293e-04,1.625721631e-04,1.415653158e-04,8.128609179e-05,1.525255650e-04,2.727779137e-02,3.138871162e+01,2.489921828e-07,2.738597863e-03,1.776448e-15,1.256733e-17,1.307774e-18,8.593498e-03
0.950000,1.170579587e-04,1.670835597e-04,1.180738374e-04,8.354178507e-05,1.530378727e-04,1.935581956e-02,3.137925802e+01,2.501692783e-07,2.737750663e-03,9.012311e-16,7.890873e-18,1.076783e-18,8.645049e-03
1.000000,1.168847541e-04,1.710751796e-04,9.882573299e-05,8.553759727e-05,1.533740076e-04,2.639247487e-02,3.137032917e+01,2.516053968e-07,2.742674050e-03,1.337630e-15,5.897027e-18,1.044604e-18,8.560448e-03
1.050000,1.164825794e-04,1.746016869e-04,8.311720982e-05,8.730085446e-05,1.535678765e-04,4.074173160e-02,3.136196849e+01,2.530904903e-07,2.751646782e-03,1.780017e-15,2.515744e-17,1.754316e-18,8.568868e-03
1.100000,1.158933199e-04,1.777212114e-04,7.044315370e-05,8.886061260e-05,1.536482470e-04,5.659860812e-02,3.135420663e+01,2.545130572e-07,2.763373114e-03,1.342769e-15,1.173675e-17,2.572839e-18,8.613498e-03
1.150000,1.151535782e-04,1.804891708e-04,6.048028639e-05,9.024459291e-05,1.536394279e-04,7.250741331e-02,3.134706202e+01,2.558222153e-07,2.776866500e-03,1.334501e-15,1.068012e-17,1.593707e-18,1.234979e-02
1.200000,1.142953396e-04,1.829555470e-04,5.305767679e-05,9.147778446e-05,1.535618704e-04,8.801051052e-02,3.134054170e+01,2.570030234e-07,2.791365386e-03,2.000758e-15,4.993419e-18,6.322998e-19,8.517918e-03
1.250000,1.133465730e-04,1.851638797e-04,4.809409382e-05,9.258194758e-05,1.534326937e-04,1.029049145e-01,3.133464236e+01,2.580605889e-07,2.806272858e-03,1.558295e-15,1.885416e-17,4.347801e-19,1.220320e-02
1.300000,1.123317579e-04,1.871511695e-04,4.549237767e-05,9.357559166e-05,1.532661387e-04,1.170757856e-01,3.132935143e+01,2.590099833e-07,2.821113646e-03,1.334897e-15,1.858757e-17,1.731090e-19,1.078294e-02
1.350000,1.112723357e-04,1.889483692e-04,4.503101367e-05,9.447418922e-05,1.530739623e-04,1.304472752e-01,3.132464840e+01,2.598699790e-07,2.835503611e-03,9.081478e-16,5.411436e-18,1.400929e-18,8.570208e-03
1.400000,1.101870923e-04,1.905809654e-04,4.633570676e-05,9.529049406e-05,1.528657766e-04,1.429643981e-01,3.132050612e+01,2.606592901e-07,2.849128110e-03,2.246379e-15,2.822479e-18,6.780215e-19,8.899799e-03
1.450000,1.090924800e-04,1.920697599e-04,4.895423744e-05,9.603489108e-05,1.526493445e-04,1.545850649e-01,3.131689225e+01,2.613944401e-07,2.861726679e-03,2.222073e-15,1.538029e-17,8.647623e-19,8.605568e-03
1.500000,1.080028871e-04,1.934314633e-04,5.245806580e-05,9.671573955e-05,1.524308374e-04,1.652760319e-01,3.131377059e+01,2.620886800e-07,2.873082196e-03,1.554533e-15,9.158132e-18,6.557742e-19,8.498187e-03
1.550000,1.069308651e-04,1.946793683e-04,5.649873221e-05,9.733969078e-05,1.522150610e-04,1.750105743e-01,3.131110255e+01,2.627515749e-07,2.883013206e-03,1.334781e-15,2.048405e-18,5.022016e-19,9.462071e-03
1.600000,1.058873213e-04,1.958239329e-04,6.081481956e-05,9.791197236e-05,1.520056556e-04,1.837670103e-01,3.130884849e+01,2.633890106e-07,2.891368494e-03,1.111959e-15,6.708094e-18,4.597867e-19,8.597639e-03
1.650000,1.048816858e-04,1.968732598e-04,6.521584616e-05,9.843663709e-05,1.518052740e-04,1.915276909e-01,3.130696904e+01,2.640034552e-07,2.898023251e-03,1.333329e-15,2.277575e-18,9.081279e-20,8.602288e-03
1.700000,1.039220579e-04,1.978335403e-04,6.956259931e-05,9.891677778e-05,1.516157408e-04,1.982782718e-01,3.130542631e+01,2.645943720e-07,2.902876347e-03,1.565027e-15,9.105392e-18,4.555535e-19,8.542678e-03
1.750000,1.030153388e-04,1.987094044e-04,7.375125490e-05,9.935471096e-05,1.514381968e-04,2.040071701e-01,3.130418506e+01,2.651587121e-07,2.905848393e-03,1.778355e-15,5.263064e-18,9.946404e-20,8.739658e-03
1.800000,1.021673545e-04,1.995042522e-04,7.770227919e-05,9.975213290e-05,1.512732290e-04,2.087051541e-01,3.130321368e+01,2.656914447e-07,2.906880327e-03,1.334228e-15,1.679641e-18,9.181408e-20,8.728778e-03
1.850000,1.013829724e-04,2.002204904e-04,8.135313290e-05,1.001102514e-04,1.511209893e-04,2.123650305e-01,3.130248513e+01,2.661860928e-07,2.905932362e-03,1.332283e-15,1.709521e-18,5.084660e-20,8.692188e-03
