t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,2.671085329e-04,8.505406543e-04,1.452283132e-03,4.252703167e-04,1.387105814e-04,5.237507383e-02,3.136501915e+01,3.076096293e-05,0.000000000e+00,2.223899e-15,1.109458e-19,1.556999e-21,1.353456e-02
0.050000,7.993420380e-04,1.528792537e-03,1.670765871e-02,7.643961948e-04,3.450749587e-04,3.011097655e-01,3.214962649e+01,2.378242457e-04,1.651412168e+00,1.333956e-15,2.173407e-18,2.491832e-19,8.695267e-03
0.100000,3.057152601e-04,7.042762579e-04,1.365440641e-02,3.521381239e-04,6.726423908e-05,3.475787093e-01,3.242495903e+01,1.132425876e-04,4.433786623e-01,1.577280e-15,6.869437e-18,2.311453e-19,8.798247e-03
0.150000,1.334398261e-04,5.882874182e-04,8.530636255e-03,2.941437077e-04,5.698185268e-05,2.787848074e-01,3.184765778e+01,5.035903804e-05,3.782238587e-01,1.777022e-15,1.517778e-18,3.951207e-20,8.895358e-03
0.200000,1.310843663e-04,5.061091508e-04,3.444189758e-03,2.530545761e-04,1.028894953e-04,2.678151189e-01,3.146497117e+01,1.660053044e-05,4.281684464e-01,1.783790e-15,7.223397e-19,3.062103e-19,9.145259e-03
0.250000,5.900216500e-05,1.518048745e-04,3.039082232e-03,7.590245022e-05,5.497478098e-05,2.099940820e-01,3.163194868e+01,5.660688580e-06,1.729880723e-01,2.001878e-15,7.959426e-18,1.778689e-19,9.950160e-03
0.300000,8.651678657e-05,2.544670387e-04,1.499096323e-03,1.272335238e-04,1.617922438e-04,2.126382718e-01,3.151668368e+01,4.760853232e-06,1.570537464e-01,1.336436e-15,1.008046e-17,1.486622e-19,1.410841e-02
0.350000,9.829717784e-05,3.478187236e-04,2.626364373e-03,1.739093636e-04,1.087275304e-04,2.054904043e-01,3.163026705e+01,8.760876623e-06,2.844856734e-01,8.912596e-16,2.251885e-18,1.315256e-19,1.407042e-02
0.400000,9.440470833e-05,1.729059294e-04,2.095722432e-03,8.645297617e-05,7.098535805e-05,2.200628328e-01,3.152104841e+01,3.593441833e-06,7.933420508e-02,2.007312e-15,2.674664e-18,5.940407e-19,8.726438e-03
0.450000,8.903955757e-05,3.133232751e-04,4.171611735e-03,1.566616413e-04,1.569981536e-04,1.959387350e-01,3.137370733e+01,1.361396822e-05,3.566051859e-01,1.332268e-15,6.075779e-18,3.748597e-19,1.265694e-02
0.500000,8.353151555e-05,1.369714218e-04,6.657599557e-03,6.848571985e-05,1.495171352e-04,1.674012802e-01,3.172471034e+01,2.380647789e-05,5.704540670e-01,1.112203e-15,1.247492e-17,5.423234e-19,8.761318e-03
0.550000,1.422038583e-04,3.056339190e-04,2.005867890e-03,1.528169636e-04,1.085950933e-04,1.608634495e-01,3.134272603e+01,6.219952668e-06,1.900644643e-01,1.334059e-15,5.104633e-18,1.389466e-18,8.802608e-03
0.600000,1.288289170e-04,1.965364738e-04,1.091625498e-03,9.826824367e-05,1.373895001e-04,7.874194181e-02,3.146356775e+01,2.895921737e-06,1.360232243e-01,1.334683e-15,7.135777e-18,7.373256e-19,8.818617e-03
0.650000,1.040815037e-04,2.809880956e-04,3.161149623e-03,1.404940544e-04,1.596049392e-04,1.695660573e-01,3.153009329e+01,9.173555625e-06,2.815123048e-01,1.999710e-15,9.713400e-18,1.356104e-18,1.358948e-02
0.700000,9.361615706e-05,1.577365528e-04,3.778255956e-03,7.886828585e-05,1.718407618e-04,8.711644024e-02,3.144898878e+01,9.314011972e-06,3.419319873e-01,1.558855e-15,9.935057e-18,6.751825e-19,8.857268e-03
0.750000,1.601588953e-04,2.702466051e-04,2.839834141e-03,1.351233065e-04,1.546537486e-04,9.157280825e-02,3.130206999e+01,7.910369525e-06,2.844006538e-01,1.333500e-15,6.288235e-18,8.049016e-19,8.819788e-03
0.800000,1.402226915e-04,2.008543609e-04,2.700506714e-03,1.004271883e-04,1.552340461e-04,8.145902753e-02,3.134006696e+01,6.223971841e-06,2.532666236e-01,1.556259e-15,8.416306e-18,2.756920e-19,8.899778e-03
0.850000,1.484752127e-04,1.264328851e-04,3.086424224e-03,6.321645721e-05,1.608388831e-04,9.768976806e-02,3.136879654e+01,6.437184373e-06,3.405338228e-01,1.777778e-15,1.113380e-17,3.016952e-18,8.782798e-03
0.900000,1.377763661e-04,3.644447037e-04,3.085251707e-03,1.822223561e-04,2.498854735e-04,5.841718631e-02,3.154131130e+01,1.256989697e-05,2.760585587e-01,1.998492e-15,1.489879e-17,8.719283e-19,8.919508e-03
0.950000,1.281126064e-04,2.142459296e-04,3.036102251e-03,1.071229730e-04,1.966990523e-04,8.714013364e-02,3.143557332e+01,7.992632140e-06,3.223445887e-01,1.780165e-15,3.441630e-18,2.174750e-18,8.914668e-03
1.000000,7.356537819e-05,1.475425607e-04,5.815511556e-04,7.377129327e-05,1.436282453e-04,4.415731400e-02,3.134786485e+01,1.865016381e-06,1.101047940e-01,1.777441e-15,4.642526e-18,6.682782e-19,8.754238e-03
1.050000,1.327550345e-04,1.320650364e-04,1.985553632e-03,6.603253043e-05,1.037231917e-04,6.936523194e-02,3.140889948e+01,3.099198845e-06,2.091480268e-01,1.562364e-15,1.170462e-17,1.194782e-18,1.111494e-02
1.100000,1.544729085e-04,1.660535394e-04,2.105802270e-03,8.302678095e-05,5.624846386e-05,5.903526396e-02,3.137098263e+01,3.446708604e-06,2.021415643e-01,1.778816e-15,2.327461e-17,6.086786e-19,9.002038e-03
1.150000,9.139698123e-05,2.773676321e-04,3.993566800e-03,1.386838244e-04,1.819680525e-04,9.062845474e-02,3.141305450e+01,1.237609528e-05,3.212206321e-01,2.443972e-15,1.381111e-17,6.350940e-19,8.783617e-03
1.200000,5.627077152e-05,2.225445059e-04,3.445745559e-03,1.112722591e-04,1.942993522e-04,7.804542285e-02,3.127065307e+01,9.427713265e-06,2.936218848e-01,1.334422e-15,9.986359e-18,2.023201e-18,8.948828e-03
1.250000,1.038374500e-04,2.169287853e-04,3.122052250e-03,1.084643993e-04,8.528042828e-05,1.088971324e-01,3.131801809e+01,7.046839328e-06,3.343237657e-01,1.345927e-15,4.561758e-19,4.379513e-19,1.247348e-02
1.300000,1.422423838e-04,1.641142215e-04,1.720866782e-03,8.205712469e-05,1.645026020e-04,1.357257690e-01,3.135437558e+01,3.640474957e-06,1.661680368e-01,2.222150e-15,6.637741e-18,5.357274e-19,8.704667e-03
1.350000,8.825857721e-05,2.078115300e-04,2.389419169e-03,1.039057718e-04,1.836359202e-04,1.544688256e-01,3.127952425e+01,5.930973537e-06,2.267825139e-01,1.564763e-15,1.215607e-17,8.609893e-19,8.619257e-03
1.400000,1.389483047e-04,3.525162943e-04,1.450160452e-03,1.762581529e-04,2.011943545e-04,1.297699012e-01,3.129490989e+01,7.641359237e-06,1.531682584e-01,2.222301e-15,1.420133e-17,7.624657e-19,8.910838e-03
1.450000,1.043689260e-04,2.450421978e-04,1.630207813e-03,1.225211063e-04,1.675826861e-04,1.331118820e-01,3.133308608e+01,4.853974465e-06,1.269146065e-01,2.006754e-15,2.811042e-18,8.304205e-19,8.635207e-03
1.500000,1.612552183e-04,3.003332099e-04,1.158674124e-03,1.501666103e-04,1.877170377e-04,1.473160543e-01,3.134416841e+01,5.688772046e-06,9.134811241e-02,1.778891e-15,3.064650e-18,2.294125e-19,8.715458e-03
1.550000,1.779233048e-04,4.115262130e-04,1.275963235e-03,2.057631087e-04,1.129934022e-04,1.923448863e-01,3.135895350e+01,8.098894552e-06,1.295175761e-01,1.556324e-15,2.848959e-18,2.277117e-19,8.634258e-03
1.600000,9.387462356e-05,1.260178895e-04,4.634018930e-03,6.300895780e-05,8.081382538e-05,2.166298513e-01,3.121232519e+01,1.163352130e-05,3.201528480e-01,1.558422e-15,6.213162e-18,7.113544e-19,8.693237e-03
1.650000,1.171320009e-04,2.154380348e-04,2.332913949e-03,1.077190267e-04,1.151964228e-04,2.567199377e-01,3.121150521e+01,5.108594573e-06,2.078330206e-01,1.999968e-15,1.288032e-18,2.464749e-19,8.605847e-03
