t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
1.300000,1.444080774e-04,1.635308640e-04,1.887227200e-03,8.176544259e-05,1.701539384e-04,2.144572255e-01,3.178177761e+01,2.065916855e-06,1.596007058e-01,1.776815e-15,1.845451e-17,8.062014e-19,8.753856e-03
1.350000,8.902533406e-05,2.150855060e-04,2.813727660e-03,1.075427621e-04,1.909651053e-04,2.038666379e-01,3.093709239e+01,4.342796610e-06,2.390622705e-01,2.001848e-15,2.411013e-18,2.462871e-19,8.947595e-03
1.400000,1.384893626e-04,3.489057408e-04,1.845589428e-03,1.744528749e-04,2.070442277e-04,2.824968228e-01,3.113882999e+01,2.289509110e-06,1.600988133e-01,1.777544e-15,1.797604e-18,2.569824e-19,8.924455e-03
1.450000,1.065902395e-04,2.423800089e-04,1.643549775e-03,1.211900115e-04,1.694052413e-04,1.267752366e-01,3.119765478e+01,1.697709169e-06,1.373814147e-01,1.777029e-15,2.042924e-17,1.076301e-19,1.333334e-02
1.500000,1.617411909e-04,2.893932094e-04,1.056673048e-03,1.446966113e-04,1.909805186e-04,3.120704131e-01,3.168141936e+01,1.017564308e-06,7.408470431e-02,2.005773e-15,6.131591e-18,6.708028e-19,8.901805e-03
1.550000,1.756522193e-04,3.983314702e-04,2.082164611e-03,1.991657380e-04,1.218195208e-04,1.932826088e-01,3.152616555e+01,2.603760627e-06,2.354372784e-01,1.776358e-15,8.148395e-18,7.902679e-19,8.770336e-03
1.600000,9.558324385e-05,1.273245028e-04,4.588204119e-03,6.366226856e-05,9.321310212e-05,2.988358011e-01,3.120824003e+01,1.062774105e-05,2.979415944e-01,2.231106e-15,3.829952e-18,1.908213e-19,8.814056e-03
1.650000,1.189566781e-04,2.129099793e-04,2.685050879e-03,1.064549966e-04,1.213754427e-04,2.983430472e-01,3.154519285e+01,3.813266426e-06,2.265041059e-01,1.560410e-15,3.311321e-18,3.252058e-19,1.419242e-02
1.700000,1.409854613e-04,2.203671665e-04,4.822924671e-03,1.101835903e-04,3.157040656e-05,2.762812046e-01,3.181377670e+01,1.173539811e-05,4.014783287e-01,1.555043e-15,3.910473e-18,1.071421e-19,8.771477e-03
1.750000,1.609564381e-04,7.578561823e-05,9.972676222e-04,3.789282743e-05,1.626795415e-04,3.172734672e-01,3.166542963e+01,7.204753520e-07,6.827251900e-02,1.359783e-15,4.289912e-18,4.942936e-20,1.354959e-02
1.800000,8.752106061e-05,2.663623309e-04,2.197128410e-03,1.331811728e-04,2.014284360e-04,3.138462826e-01,3.094656151e+01,2.880171742e-06,2.581174672e-01,2.221911e-15,3.911904e-18,5.008966e-20,9.256992e-03
1.850000,1.414148656e-04,2.691793918e-04,2.938613860e-03,1.345897042e-04,1.336514131e-04,2.882562666e-01,3.158502559e+01,4.605542418e-06,2.484636109e-01,2.445899e-15,3.154263e-18,4.184034e-20,8.795317e-03
1.900000,1.690571696e-04,2.305458562e-04,5.366795752e-03,1.152729358e-04,2.178337600e-05,2.740205561e-01,3.131872069e+01,1.451134724e-05,5.167224598e-01,1.782077e-15,1.537698e-18,5.303265e-20,8.748337e-03
1.950000,9.715740443e-05,2.741163246e-04,9.352754535e-04,1.370581702e-04,4.732432205e-05,2.671076459e-01,3.102330348e+01,6.055663548e-07,7.530881504e-02,2.221125e-15,4.023274e-19,3.070494e-21,8.969175e-03
2.000000,7.935464955e-05,2.024553646e-04,1.842092801e-03,1.012276891e-04,1.153354462e-04,2.673799847e-01,3.117081452e+01,1.885047426e-06,1.440534401e-01,1.334567e-15,2.267287e-19,1.723587e-21,8.705086e-03
2.050000,8.684844522e-05,1.040874173e-04,4.476525613e-03,5.204372224e-05,6.111127696e-05,1.680013879e-01,3.121769672e+01,1.007118588e-05,4.073165270e-01,1.333801e-15,2.952153e-19,1.358599e-20,8.778727e-03
2.100000,1.327453563e-04,1.371100175e-04,2.045245031e-03,6.855502219e-05,4.269721110e-05,1.952533971e-01,3.183977250e+01,2.143696363e-06,2.999026380e-01,1.777665e-15,3.982073e-19,3.411317e-21,8.800586e-03
2.150000,1.066309493e-04,2.332097559e-04,3.959220278e-03,1.166048826e-04,4.482814048e-05,1.767939530e-01,3.135793141e+01,7.962562691e-06,3.865718034e-01,1.123910e-15,2.309052e-19,6.828998e-21,8.841596e-03
2.200000,1.246773023e-04,2.408427404e-04,1.947233248e-03,1.204213761e-04,1.023139909e-04,1.562662625e-01,3.121706586e+01,2.095614346e-06,2.284228301e-01,1.556207e-15,1.453817e-19,1.707249e-21,9.108234e-03
2.250000,1.491711341e-04,2.481607176e-04,3.208808787e-03,1.240803652e-04,5.382494730e-05,1.584099123e-01,3.097185759e+01,5.294571411e-06,3.260240551e-01,1.778019e-15,2.587265e-19,6.984813e-21,8.844746e-03
2.300000,1.586621146e-04,2.869736037e-04,1.917591311e-03,1.434868090e-04,1.082015903e-04,8.643373719e-02,3.137045108e+01,2.096946606e-06,1.888436608e-01,2.220746e-15,2.517805e-19,2.994714e-21,8.800667e-03
2.350000,1.560508964e-04,2.445998119e-04,2.573997642e-03,1.222999154e-04,1.319804347e-04,2.107998777e-01,3.128279266e+01,3.571740767e-06,1.539669748e-01,2.445482e-15,1.265278e-19,5.427790e-21,8.781417e-03
2.400000,1.040818999e-04,2.695871632e-04,2.697220731e-03,1.347935885e-04,1.049538143e-04,1.383076693e-01,3.112894548e+01,3.870976754e-06,2.535004939e-01,2.005463e-15,2.536136e-20,7.266087e-21,8.805937e-03
2.450000,5.450022703e-05,2.171268401e-04,3.648658887e-03,1.085634284e-04,1.237183870e-04,1.630912808e-01,3.068331586e+01,6.873093895e-06,3.014790570e-01,1.776400e-15,2.019777e-19,1.101957e-20,8.794717e-03
2.500000,9.165516326e-05,1.396436529e-04,3.958023112e-03,6.982183653e-05,8.824732755e-05,1.228802889e-01,3.094735389e+01,7.934274914e-06,3.521430407e-01,1.332320e-15,8.596163e-19,1.525771e-20,9.633380e-03
2.550000,1.994727596e-04,3.846854434e-04,2.806761955e-03,1.923427263e-04,5.432750020e-05,8.624923777e-02,3.134455100e+01,4.258533950e-06,1.452959323e-01,2.228126e-15,2.191583e-19,8.060906e-21,8.855966e-03
2.600000,1.308533323e-04,2.358954688e-04,4.433506084e-03,1.179477455e-04,1.230057374e-04,2.099340605e-01,3.089134782e+01,1.006032475e-05,4.127416239e-01,2.665095e-15,5.492744e-19,1.721667e-20,8.767657e-03
2.650000,1.053781343e-04,2.688503200e-04,2.815108983e-03,1.344251677e-04,1.499722935e-04,9.388355724e-02,3.126661421e+01,4.286913809e-06,2.066831066e-01,2.223626e-15,5.704469e-19,9.761572e-21,8.695368e-03
2.700000,1.364749208e-04,1.900686868e-04,3.600120034e-03,9.503435130e-05,1.383091752e-04,1.799060850e-01,3.149837318e+01,6.705719776e-06,2.586348521e-01,1.561609e-15,2.267973e-19,5.963166e-21,8.785427e-03
2.750000,1.164294721e-04,2.775543023e-04,2.373883710e-03,1.387771586e-04,1.107317841e-04,2.036742849e-01,3.175520120e+01,3.069826956e-06,2.066487587e-01,2.225274e-15,4.219925e-19,5.099814e-21,8.750418e-03
2.800000,1.052079836e-04,1.897194964e-04,2.986013609e-03,9.485975770e-05,9.881430585e-05,1.110492906e-01,3.130611009e+01,4.608239760e-06,4.432069277e-01,1.796932e-15,1.188632e-19,6.894349e-21,8.760207e-03
2.850000,9.957020133e-05,2.169364785e-04,2.549039465e-03,1.084682465e-04,7.400169085e-05,1.628684135e-01,3.091676937e+01,3.386733984e-06,2.548759902e-01,1.590342e-15,2.868686e-19,4.644221e-21,8.855806e-03
2.900000,1.092328200e-04,2.834911202e-04,4.917969118e-03,1.417455663e-04,1.156644176e-04,1.648004899e-01,3.133965492e+01,1.236097063e-05,4.268837817e-01,1.999457e-15,2.399042e-19,1.910993e-20,8.815037e-03
2.950000,9.844865048e-05,1.505547669e-04,3.449501502e-03,7.527739490e-05,1.014738756e-04,1.595469011e-01,3.086494408e+01,6.077239375e-06,2.524858714e-01,1.778000e-15,5.247847e-19,9.470116e-21,8.591069e-03
3.000000,1.929263976e-04,2.085027003e-04,4.009895617e-03,1.042513548e-04,1.698232238e-04,1.905061293e-01,3.165390825e+01,8.357297607e-06,3.161821213e-01,8.882466e-16,3.886922e-19,5.095690e-21,8.763997e-03
3.050000,1.676367484e-04,1.745287766e-04,1.605119389e-03,8.726439825e-05,1.502772341e-04,2.262268247e-01,3.169677354e+01,1.529790705e-06,1.845870584e-01,1.794605e-15,1.036128e-18,1.468059e-21,8.693428e-03
