t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,4.971004415e-16,7.884953353e-08,0.000000000e+00,3.300040363e-18,5.242539844e-16,1.775974742e-03,3.902507981e+01,2.198825043e-30,7.790215e-16,0.000000e+00,0.000000e+00,7.141250e-03
0.010000,3.476583956e-07,3.264680848e-07,1.239302421e-04,1.595774288e-07,5.306298913e-07,2.270350574e-01,3.934704888e+01,7.681808720e-09,2.297651e-16,1.296880e-19,2.182754e-22,7.037380e-03
0.020000,6.388896622e-07,5.915592087e-07,1.142487308e-04,2.935270705e-07,9.754250464e-07,2.268790819e-01,3.934641228e+01,6.534687147e-09,4.447562e-16,9.012446e-20,1.515958e-21,7.032761e-03
0.030000,8.774478120e-07,8.090658164e-07,1.052491769e-04,4.037775930e-07,1.340333632e-06,2.267013910e-01,3.934543806e+01,5.554370866e-09,7.376328e-17,7.050246e-19,2.711829e-21,7.034100e-03
0.040000,1.066909684e-06,9.866324280e-07,9.689012361e-05,4.921193849e-07,1.630972612e-06,2.265017739e-01,3.934412644e+01,4.717066052e-09,2.935940e-16,2.264796e-19,9.470116e-22,7.052120e-03
0.050000,1.210681108e-06,1.120662432e-06,8.913252703e-05,5.602145377e-07,1.852644640e-06,2.262800327e-01,3.934247766e+01,4.002272747e-09,2.423666e-16,8.927261e-19,3.054021e-21,7.032970e-03
0.060000,1.312003011e-06,1.220076650e-06,8.193960951e-05,6.096061052e-07,2.010354133e-06,2.260359818e-01,3.934049197e+01,3.392354950e-09,2.310013e-16,5.432962e-19,9.122824e-21,6.978060e-03
0.070000,1.373957478e-06,1.284614924e-06,7.527672250e-05,6.417266950e-07,2.108822562e-06,2.257694485e-01,3.933816965e+01,2.872164042e-09,4.497514e-16,9.265472e-19,1.702515e-20,7.035600e-03
0.080000,1.399473768e-06,1.318731719e-06,6.911121850e-05,6.579064397e-07,2.152503008e-06,2.254802725e-01,3.933551101e+01,2.428709142e-09,1.112049e-15,7.203267e-19,3.788046e-20,7.049360e-03
0.090000,1.391334338e-06,1.320078051e-06,6.341233131e-05,6.593803929e-07,2.145593997e-06,2.251683063e-01,3.933251640e+01,2.050868730e-09,2.785386e-17,7.867764e-19,1.355253e-20,6.987061e-03
0.100000,1.352180920e-06,1.295287240e-06,5.815106442e-05,6.472953916e-07,2.092052678e-06,2.248334146e-01,3.932918620e+01,1.729138552e-09,2.228820e-16,1.412006e-18,5.789642e-20,6.968601e-03
0.110000,1.284520842e-06,1.245294953e-06,5.330008676e-05,6.227164236e-07,1.995607341e-06,2.244754744e-01,3.932552080e+01,1.455411420e-09,8.892383e-16,1.087775e-18,4.079851e-20,6.976830e-03
0.120000,1.190733905e-06,1.175209531e-06,4.883363587e-05,5.866325392e-07,1.859769349e-06,2.240943752e-01,3.932152065e+01,1.222785034e-09,3.366019e-16,8.612255e-19,5.587850e-20,6.979400e-03
0.130000,1.073080658e-06,1.081951550e-06,4.472742784e-05,5.399623393e-07,1.687844494e-06,2.236900185e-01,3.931718624e+01,1.025394428e-09,2.289965e-16,6.219783e-19,2.443217e-20,6.954130e-03
0.140000,9.337142338e-07,9.684608465e-07,4.095857422e-05,4.835590791e-07,1.482943831e-06,2.232623176e-01,3.931251809e+01,8.582660155e-10,2.221792e-16,3.178934e-18,8.571371e-20,6.907950e-03
0.150000,7.747023645e-07,8.392410183e-07,3.750550543e-05,4.182154354e-07,1.247994103e-06,2.228111978e-01,3.930751674e+01,7.171906164e-10,1.180032e-16,2.145766e-18,8.677852e-20,6.967720e-03
